,Game_result,Citizen,Mafia,Don,Sheriff
10,город,"[(1, 'Анархия'), (3, 'Гость'), (4, 'Абрам'), (5, 'Гармония'), (7, 'Benjamin'), (10, 'Кельтас')]","[(2, 'Дор'), (6, 'Одиннадцатый')]","(8, 'Ятна')","(9, 'Setti')"
11,город,"[(1, 'Марта'), (5, 'Ginger'), (6, 'Snow'), (8, 'Гармония'), (9, 'Дор'), (10, 'Гость')]","[(4, 'Ятна'), (7, 'Абрам')]","(2, 'Анархия')","(3, 'Benjamin')"
12,мафия,"[(1, 'Snow'), (3, 'Анархия'), (5, 'Ятна'), (7, 'Гармония'), (9, 'Lynch'), (10, '')]","[(2, 'Ginger'), (8, 'Хохольчик')]","(4, 'Абрам')","(6, 'Setti')"
13,мафия,"[(2, 'Коннор'), (5, 'Scorp'), (6, 'Джина'), (7, 'Fake'), (9, 'Arty'), (10, 'Хохольчик')]","[(1, 'Кукла'), (8, 'Змей')]","(4, 'Frank')","(3, 'Марта')"
14,город,"[(1, 'Хохольчик'), (4, 'Mr. Pibb'), (5, 'Frank'), (6, 'Змей'), (9, 'Персик'), (10, 'Джина')]","[(3, 'Коннор'), (8, 'Ботаник')]","(7, 'Fake')","(2, 'Марта')"
15,мафия,"[(2, 'Змей'), (5, 'Марта'), (6, 'Хохольчик'), (8, 'Джина'), (9, 'Frank'), (10, 'Персик')]","[(4, 'Fake'), (7, 'Ботаник')]","(1, 'Snow')","(3, 'Коннор')"
16,мафия,"[(2, 'Коннор'), (3, 'Одиннадцатый'), (4, 'Гармония'), (7, 'Змей'), (9, 'Шершень'), (10, 'Snow')]","[(1, 'Анархия'), (5, 'Setti')]","(8, 'Гость')","(6, 'Benjamin')"
17,город,"[(4, 'Snow'), (5, 'Гармония'), (6, 'Setti'), (7, 'Ginger'), (8, 'Benjamin'), (10, 'Анархия')]","[(3, 'Гость'), (9, 'Дор')]","(1, 'Одиннадцатый')","(2, 'Шершень')"
18,город,"[(1, 'Гармония'), (2, 'Mr. Pibb'), (3, 'Анархия'), (5, 'Snow'), (6, 'Flash'), (8, 'Коннор')]","[(4, 'Кира'), (9, 'Хохольчик')]","(7, 'Lynch')","(10, 'Шершень')"
19,мафия,"[(3, 'Багряный'), (4, 'Кира'), (6, 'Lynch'), (7, 'Flash'), (9, 'Snow'), (10, 'Шершень')]","[(2, 'Коннор'), (8, 'Анархия')]","(1, 'Хохольчик')","(5, 'Гармония')"
20,мафия,"[(1, 'Хохольчик'), (2, 'Шершень'), (7, 'Гость'), (8, 'Mr. Pibb'), (9, 'Кира'), (10, 'Гармония')]","[(5, 'Flash'), (6, 'Дор')]","(3, 'Анархия')","(4, 'Benjamin')"
21,мафия,"[(1, 'Гость'), (2, 'Гармония'), (3, 'Дор'), (5, 'Lynch'), (6, 'Анархия'), (8, 'Чикаго')]","[(4, 'Benjamin'), (9, 'Night')]","(10, 'Хохольчик')","(7, 'Snow')"
22,город,"[(1, 'Чикаго'), (2, 'Гость'), (4, 'Snow'), (7, 'Night'), (9, 'Анархия'), (10, 'Хохольчик')]","[(3, 'Lynch'), (6, 'Ginger')]","(8, 'Гармония')","(5, 'Ice')"
23,город,"[(3, 'Lawliet'), (4, 'Ятна'), (6, 'Flash'), (8, 'Benjamin'), (9, 'Setti'), (10, 'Анархия')]","[(2, 'Вольфрам'), (5, 'Шершень')]","(7, 'Гость')","(1, 'Гость')"
24,город,"[(1, 'Flash'), (2, 'Вольфрам'), (5, 'Гармония'), (7, 'Ginger'), (9, 'Lawliet'), (10, 'Анархия')]","[(3, 'Гость'), (8, 'Шершень')]","(6, 'Snow')","(4, 'Ятна')"
25,мафия,"[(5, 'Setti'), (6, 'Шершень'), (7, 'Гармония'), (8, 'Вольфрам'), (9, 'Lawliet'), (10, 'Ятна')]","[(3, 'Benjamin'), (4, 'Flash')]","(2, 'Snow')","(1, 'Ginger')"
26,мафия,"[(1, 'Trevery'), (4, 'Марта'), (5, 'Хохольчик'), (6, 'Snow'), (9, 'Багряный'), (10, 'Одиннадцатый')]","[(7, 'Анархия'), (8, 'Сарказм')]","(3, 'Ginger')","(2, 'Дор')"
27,мафия,"[(1, 'Багряный'), (2, 'Дор'), (4, 'Марта'), (8, 'Benjamin'), (9, 'Гармония'), (10, 'Анархия')]","[(3, 'Snow'), (6, 'Trevery')]","(5, 'Сарказм')","(7, 'Хохольчик')"
28,мафия,"[(2, 'Benjamin'), (3, 'Хохольчик'), (4, 'Аниморф'), (7, 'Анархия'), (9, 'Lynch'), (10, 'Ятна')]","[(1, 'Абрам'), (5, 'Trevery')]","(6, 'Марта')","(8, 'Сарказм')"
29,мафия,"[(1, 'Benjamin'), (2, 'Персик'), (6, 'Setti'), (7, 'Змей'), (9, 'Дор'), (10, 'Lynch')]","[(3, 'Лача'), (4, 'Snow')]","(5, 'Кельтас')","(8, 'Ginger')"
30,мафия,"[(1, 'Benjamin'), (5, 'Персик'), (6, 'Setti'), (7, 'Snow'), (8, 'Гармония'), (9, 'Ginger')]","[(2, 'Lynch'), (3, 'Абрам')]","(4, 'Дор')","(10, 'Как так')"
31,мафия,"[(1, 'Lynch'), (2, 'Гармония'), (3, 'Ginger'), (5, 'Персик'), (6, 'Benjamin'), (10, 'Snow')]","[(4, 'Дор'), (9, 'Абрам')]","(8, 'Марта')","(7, 'Как так')"
32,мафия,"[(2, 'Snow'), (3, 'Flash'), (4, 'Дор'), (5, 'Змей'), (7, 'Шершень'), (8, 'Lynch')]","[(1, 'Frank'), (9, 'Коннор')]","(10, 'Марта')","(6, 'Одиннадцатый')"
33,мафия,"[(2, 'Frank'), (3, 'Snow'), (5, 'Arty'), (6, 'Шершень'), (7, 'Лача'), (10, 'Коннор')]","[(1, 'Flash'), (4, 'Дор')]","(8, 'Lynch')","(9, 'Гармония')"
34,город,"[(2, 'Шершень'), (5, 'Lynch'), (6, 'Snow'), (7, 'Дор'), (8, 'Одиннадцатый'), (10, 'Коннор')]","[(3, 'Лача'), (4, 'Frank')]","(9, 'Flash')","(1, 'Гармония')"
35,мафия,"[(1, 'Snow'), (3, 'Кельтас'), (5, 'Коннор'), (6, 'Гармония'), (8, 'Багряный'), (9, 'Анархия')]","[(7, 'Персик'), (10, 'Fake')]","(4, 'Лача')","(2, 'Ice')"
36,мафия,"[(2, 'Анархия'), (4, 'Fake'), (5, 'Кельтас'), (6, 'Гармония'), (7, 'Benjamin'), (8, 'Персик')]","[(1, 'Коннор'), (3, 'Snow')]","(9, 'Багряный')","(10, 'Setti')"
37,мафия,"[(1, 'Шершень'), (3, 'Benjamin'), (4, 'Night'), (5, 'Хохольчик'), (6, 'Snow'), (7, 'Одиннадцатый')]","[(9, 'Ginger'), (10, 'Arty')]","(8, 'Анархия')","(2, 'Сакура')"
38,мафия,"[(3, 'Хохольчик'), (4, 'Змей'), (7, 'Ginger'), (8, 'Анархия'), (9, 'Одиннадцатый'), (10, 'Night')]","[(2, 'Benjamin'), (6, 'Snow')]","(5, 'Кельтас')","(1, 'Шершень')"
39,город,"[(1, 'Night'), (2, 'Snow'), (3, 'Хохольчик'), (4, 'Шершень'), (6, 'Анархия'), (7, 'Одиннадцатый')]","[(8, 'Змей'), (9, 'Сакура')]","(10, 'Кельтас')","(5, 'Arty')"
40,город,"[(1, 'Сакура'), (2, 'Персик'), (3, 'Гармония'), (5, 'Лача'), (9, 'Шершень'), (10, 'Benjamin')]","[(4, 'Сарказм'), (6, 'Абрам')]","(8, 'Snow')","(7, 'Анархия')"
41,мафия,"[(2, 'Дор'), (4, 'Benjamin'), (6, 'Гармония'), (7, 'Хохольчик'), (9, 'Персик'), (10, 'Шершень')]","[(1, 'Анархия'), (8, 'Лача')]","(5, 'Сарказм')","(3, 'Ятна')"
42,мафия,"[(2, 'Lynch'), (3, 'Ice'), (4, 'Шершень'), (5, 'Малыш'), (6, 'Анархия'), (9, 'Night')]","[(1, 'Benjamin'), (10, 'Гармония')]","(8, 'Одиннадцатый')","(7, 'Fake')"
43,мафия,"[(1, 'Шершень'), (2, 'Одиннадцатый'), (4, 'Лача'), (6, 'Малыш'), (7, 'Night'), (8, 'Lynch')]","[(3, 'Ginger'), (5, 'Анархия')]","(10, 'Аниморф')","(9, 'Гармония')"
44,мафия,"[(2, 'Одиннадцатый'), (3, 'Benjamin'), (4, 'Лача'), (6, 'Аниморф'), (9, 'Night'), (10, 'Lynch')]","[(1, 'Гармония'), (5, 'Анархия')]","(8, 'Малыш')","(7, 'Абрам')"
45,город,"[(1, 'Trevery'), (2, 'Амахонда'), (3, 'Flash'), (6, 'Анархия'), (7, 'Гость'), (8, 'Персик')]","[(4, 'Шершень'), (9, 'Вольфрам')]","(5, 'Snow')","(10, 'Полицейский')"
46,город,"[(1, 'Гость'), (6, 'Амахонда'), (7, 'Анархия'), (8, 'Шершень'), (9, 'Полицейский'), (10, 'Flash')]","[(3, 'Персик'), (5, 'Хохольчик')]","(4, 'Вольфрам')","(2, 'Trevery')"
47,город,"[(1, 'Шершень'), (3, 'Trevery'), (6, 'Хохольчик'), (7, 'Flash'), (9, 'Персик'), (10, 'Snow')]","[(2, 'Вольфрам'), (5, 'Гость')]","(4, 'Полицейский')","(8, 'Анархия')"
48,мафия,"[(1, 'Малыш'), (2, 'Frank'), (3, 'Snow'), (6, 'Хохольчик'), (7, 'Lynch'), (8, 'Анархия')]","[(5, 'Амахонда'), (9, 'Дор')]","(4, 'Полицейский')","(10, 'Night')"
49,город,"[(2, 'Night'), (4, 'Дор'), (6, 'Setti'), (7, 'Полицейский'), (9, 'Хохольчик'), (10, 'Малыш')]","[(1, 'Абрам'), (8, 'Амахонда')]","(5, 'Аниморф')","(3, 'Benjamin')"
50,город,"[(2, 'Абрам'), (3, 'Аниморф'), (4, 'Полицейский'), (5, 'Night'), (8, 'Амахонда'), (10, 'Анархия')]","[(6, 'Frank'), (9, 'Snow')]","(7, 'Марта')","(1, 'Малыш')"
51,город,"[(1, 'Марта'), (3, 'Полицейский'), (4, 'Ятна'), (7, 'Абрам'), (8, 'Змей'), (9, 'Гармония')]","[(5, 'Хохольчик'), (10, 'Сарказм')]","(2, 'Frank')","(6, 'Дор')"
52,мафия,"[(1, 'Fake'), (2, 'Коннор'), (5, 'Snow'), (7, 'Setti'), (9, 'Шершень'), (10, 'Кукла')]","[(6, 'D.O.N.S.'), (8, 'Персик')]","(4, 'Ice')","(3, 'Багряный')"
53,мафия,"[(3, 'Хохольчик'), (4, 'Шершень'), (5, 'Дор'), (8, 'Benjamin'), (9, 'Багряный'), (10, 'Сарказм')]","[(1, 'Полицейский'), (7, 'Абрам')]","(2, 'Персик')","(6, 'Марта')"
54,город,"[(1, 'Персик'), (2, 'Setti'), (4, 'Абрам'), (7, 'D.O.N.S.'), (8, 'Snow'), (10, 'Ятна')]","[(6, 'Гармония'), (9, 'Лача')]","(5, 'Полицейский')","(3, 'Сарказм')"
55,город,"[(1, 'Гармония'), (4, 'Анархия'), (5, 'Frank'), (6, 'Одиннадцатый'), (7, 'Snow'), (9, 'Коннор')]","[(8, 'Шершень'), (10, 'Lynch')]","(3, 'Полицейский')","(2, 'Малыш')"
56,город,"[(1, 'Малыш'), (3, 'Шершень'), (4, 'Night'), (5, 'Абрам'), (9, 'Аниморф'), (10, 'Анархия')]","[(6, 'Trevery'), (7, 'Полицейский')]","(2, 'Snow')","(8, 'Frank')"
57,город,"[(1, 'Одиннадцатый'), (4, 'Аниморф'), (7, 'Анархия'), (8, 'Trevery'), (9, 'Гармония'), (10, 'Полицейский')]","[(3, 'Абрам'), (6, 'Night')]","(5, 'Lynch')","(2, 'Малыш')"
58,город,"[(2, 'Хохольчик'), (4, 'Персик'), (6, 'Snow'), (7, 'Benjamin'), (8, 'Шершень'), (10, 'Night')]","[(1, 'Коннор'), (9, 'Кукла')]","(5, 'Гармония')","(3, 'Ginger')"
59,мафия,"[(1, 'Дор'), (3, 'Сарказм'), (4, 'Snow'), (6, 'Frank'), (8, 'Анархия'), (10, 'Полицейский')]","[(2, 'Амахонда'), (7, 'Малыш')]","(9, 'Гармония')","(5, 'Lynch')"
60,город,"[(1, 'Night'), (3, 'Гармония'), (4, 'Кельтас'), (5, 'Амахонда'), (6, 'Малыш'), (8, 'Benjamin')]","[(7, 'Марта'), (10, 'Сарказм')]","(2, 'Дор')","(9, 'Полицейский')"
61,мафия,"[(1, 'Frank'), (2, 'Сарказм'), (3, 'Night'), (5, 'Snow'), (6, 'Малыш'), (7, 'Benjamin')]","[(9, 'Аниморф'), (10, 'Полицейский')]","(8, 'Марта')","(4, 'Шершень')"
62,город,"[(1, 'Snow'), (2, 'Ятна'), (3, 'Шершень'), (4, 'Анархия'), (7, 'Малыш'), (9, 'Сарказм')]","[(8, 'Одиннадцатый'), (10, 'Полицейский')]","(5, 'Benjamin')","(6, 'Дор')"
63,город,"[(1, 'Snow'), (2, 'Гармония'), (3, 'Лача'), (5, 'Шершень'), (8, 'Сарказм'), (10, 'Ginger')]","[(7, 'Малыш'), (9, 'Night')]","(4, 'Хохольчик')","(6, 'Полицейский')"
64,мафия,"[(1, 'Night'), (2, 'Ятна'), (5, 'Полицейский'), (7, 'Малыш'), (8, 'Анархия'), (9, 'Дор')]","[(6, 'Benjamin'), (10, 'Лача')]","(3, 'Шершень')","(4, 'Сарказм')"
65,мафия,"[(4, 'Полицейский'), (5, 'Сарказм'), (7, 'Гармония'), (8, 'Frank'), (9, 'Trevery'), (10, 'Snow')]","[(1, 'Хохольчик'), (3, 'Малыш')]","(6, 'Шершень')","(2, 'Ятна')"
66,город,"[(3, 'Ятна'), (5, 'Шершень'), (7, 'Малыш'), (8, 'Trevery'), (9, 'Полицейский'), (10, 'Сарказм')]","[(1, 'Анархия'), (6, 'Frank')]","(4, 'Ginger')","(2, 'Хохольчик')"
67,мафия,"[(2, 'Лача'), (3, 'Полицейский'), (4, 'Гармония'), (5, 'Ятна'), (6, 'Snow'), (7, 'Night')]","[(8, 'Trevery'), (10, 'Сарказм')]","(9, 'Малыш')","(1, 'Анархия')"
68,город,"[(1, 'Flash'), (2, 'Benjamin'), (5, 'Лача'), (6, 'Snow'), (7, 'Хохольчик'), (9, 'Персик')]","[(4, 'Вольфрам'), (8, 'Frank')]","(10, 'Шершень')","(3, 'Гармония')"
69,город,"[(1, 'Fake'), (2, 'Гармония'), (3, 'Вольфрам'), (4, 'Flash'), (8, 'Frank'), (10, 'Ginger')]","[(6, 'Хохольчик'), (7, 'Персик')]","(9, 'Snow')","(5, 'Шершень')"
70,город,"[(1, 'Frank'), (2, 'Flash'), (3, 'Шершень'), (5, 'Персик'), (8, 'Гармония'), (10, 'Хохольчик')]","[(7, 'Вольфрам'), (9, 'Fake')]","(4, 'Snow')","(6, 'Benjamin')"
71,город,"[(2, 'Малыш'), (3, 'Benjamin'), (4, 'Одиннадцатый'), (6, 'Arty'), (7, 'Fake'), (8, 'Хохольчик')]","[(1, 'Frank'), (9, 'Шершень')]","(10, 'Snow')","(5, 'Лача')"
72,город,"[(2, 'Одиннадцатый'), (3, 'Малыш'), (6, 'Полицейский'), (8, 'Ginger'), (9, 'Benjamin'), (10, 'Хохольчик')]","[(4, 'Frank'), (7, 'Snow')]","(5, 'Абрам')","(1, 'Шершень')"
73,город,"[(3, 'Lynch'), (4, 'Night'), (5, 'Малыш'), (6, 'Абрам'), (7, 'Полицейский'), (10, 'Шершень')]","[(2, 'Frank'), (9, 'Хохольчик')]","(8, 'Fake')","(1, 'Snow')"
74,мафия,"[(2, 'Дор'), (3, 'Night'), (5, 'Гармония'), (7, 'Лача'), (8, 'Абрам'), (10, 'Ятна')]","[(1, 'Lynch'), (6, 'Сарказм')]","(9, 'Ginger')","(4, 'Персик')"
75,мафия,"[(1, 'Кельтас'), (3, 'Night'), (4, 'Персик'), (5, 'Benjamin'), (7, 'Гармония'), (9, 'Lynch')]","[(6, 'Ятна'), (8, 'Лача')]","(10, 'Абрам')","(2, 'Сарказм')"
76,город,"[(2, 'Ятна'), (3, 'Benjamin'), (4, 'Персик'), (6, 'Night'), (8, 'Сарказм'), (9, 'Гармония')]","[(5, 'Абрам'), (10, 'Lynch')]","(7, 'Ginger')","(1, 'Коннор')"
77,мафия,"[(1, 'Одиннадцатый'), (2, 'Ginger'), (4, 'Абрам'), (6, 'Snow'), (8, 'Lynch'), (10, 'Анархия')]","[(7, 'Марта'), (9, 'Малыш')]","(3, 'Лача')","(5, 'Шершень')"
78,мафия,"[(2, 'Snow'), (5, 'Абрам'), (6, 'Полицейский'), (7, 'Benjamin'), (9, 'Trevery'), (10, 'Малыш')]","[(1, 'Анархия'), (4, 'Frank')]","(3, 'Night')","(8, 'Марта')"
79,город,"[(1, 'Benjamin'), (6, 'Хохольчик'), (7, 'Шершень'), (8, 'Frank'), (9, 'Snow'), (10, 'Анархия')]","[(2, 'Trevery'), (4, 'Абрам')]","(3, 'Марта')","(5, 'Малыш')"
80,город,"[(1, 'Персик'), (4, 'Arty'), (5, 'Frank'), (6, 'Абрам'), (7, 'Snow'), (10, 'Benjamin')]","[(2, 'Сарказм'), (9, 'Lynch')]","(3, 'Кельтас')","(8, 'Анархия')"
81,город,"[(1, 'Анархия'), (4, 'Абрам'), (5, 'Персик'), (6, 'Frank'), (7, 'Ginger'), (10, 'Кельтас')]","[(2, 'Snow'), (9, 'Benjamin')]","(8, 'Lynch')","(3, 'Сарказм')"
82,город,"[(4, 'Setti'), (5, 'Полицейский'), (6, 'Snow'), (7, 'Frank'), (9, 'Малыш'), (10, 'Trevery')]","[(1, 'Lucky'), (8, 'Гость')]","(2, 'Анархия')","(3, 'Шершень')"
83,город,"[(1, 'Марта'), (5, 'Полицейский'), (6, 'Малыш'), (7, 'Шершень'), (8, 'Гармония'), (9, 'Trevery')]","[(4, 'Lucky'), (10, 'Гость')]","(2, 'Гость')","(3, 'Анархия')"
84,мафия,"[(2, 'Полицейский'), (3, 'Аниморф'), (4, 'Benjamin'), (5, 'Lucky'), (7, 'Trevery'), (8, 'Snow')]","[(9, 'Гость'), (10, 'Lynch')]","(1, 'Setti')","(6, 'Малыш')"
85,город,"[(1, 'D.O.N.S.'), (2, 'Lynch'), (5, 'Дор'), (6, 'Малыш'), (8, 'Кукла'), (9, 'Ботаник')]","[(3, 'Ginger'), (4, 'Марта')]","(7, 'Frank')","(10, 'Mr. Pibb')"
86,мафия,"[(1, 'Setti'), (2, 'Benjamin'), (3, 'Fake'), (4, 'Mr. Pibb'), (7, 'D.O.N.S.'), (10, 'Lynch')]","[(5, 'Ботаник'), (6, 'Frank')]","(8, 'Малыш')","(9, 'Коломбо')"
87,мафия,"[(1, 'Mr. Pibb'), (3, 'Кукла'), (4, 'Frank'), (6, 'Fake'), (7, 'Lynch'), (10, 'Ginger')]","[(8, 'Марта'), (9, 'Ботаник')]","(5, 'D.O.N.S.')","(2, 'Дор')"
88,мафия,"[(1, 'Чикаго'), (3, 'Гость'), (6, 'Полицейский'), (7, 'Trevery'), (9, 'Frank'), (10, 'Night')]","[(4, 'Snow'), (8, 'Анархия')]","(2, 'Benjamin')","(5, 'Гармония')"
89,мафия,"[(1, 'Чикаго'), (5, 'Гость'), (6, 'Анархия'), (7, 'Setti'), (8, 'Trevery'), (10, 'Frank')]","[(2, 'Полицейский'), (9, 'Benjamin')]","(3, 'Snow')","(4, 'Гармония')"
90,город,"[(1, 'Ginger'), (3, 'Гость'), (6, 'Setti'), (7, 'Малыш'), (8, 'Анархия'), (9, 'Полицейский')]","[(2, 'Benjamin'), (10, 'Одиннадцатый')]","(4, 'Frank')","(5, 'Night')"
91,мафия,"[(1, 'Benjamin'), (2, 'Гармония'), (4, 'Кельтас'), (6, 'Малыш'), (8, 'Trevery'), (9, 'Лача')]","[(3, 'Полицейский'), (10, 'Анархия')]","(5, 'Марта')","(7, 'Night')"
92,мафия,"[(2, 'Анархия'), (3, 'Полицейский'), (4, 'Малыш'), (6, 'Arty'), (7, 'Trevery'), (8, 'Frank')]","[(9, 'Snow'), (10, 'Setti')]","(5, 'Лача')","(1, 'Benjamin')"
93,город,"[(1, 'Night'), (2, 'Snow'), (4, 'Марта'), (5, 'Полицейский'), (6, 'Малыш'), (10, 'Анархия')]","[(7, 'Гармония'), (9, 'Frank')]","(3, 'Trevery')","(8, 'Кельтас')"
94,мафия,"[(2, 'Анархия'), (3, 'Snow'), (5, 'Trevery'), (7, 'Малыш'), (8, 'Setti'), (9, 'Шершень')]","[(4, 'Полицейский'), (10, 'Чикаго')]","(1, 'Mr. Pibb')","(6, 'Benjamin')"
95,мафия,"[(1, 'Trevery'), (3, 'Шершень'), (4, 'Snow'), (7, 'Одиннадцатый'), (9, 'Benjamin'), (10, 'Малыш')]","[(5, 'Полицейский'), (6, 'Анархия')]","(2, 'Марта')","(8, 'Гармония')"
96,город,"[(3, 'Полицейский'), (6, 'Frank'), (7, 'Анархия'), (8, 'Чикаго'), (9, 'Гармония'), (10, 'Trevery')]","[(1, 'Snow'), (2, 'Малыш')]","(5, 'Setti')","(4, 'Night')"
97,город,"[(1, 'Гармония'), (2, 'Benjamin'), (4, 'Персик'), (5, 'Шершень'), (7, 'Lynch'), (10, 'Полицейский')]","[(3, 'Коломбо'), (8, 'Анархия')]","(6, 'Марта')","(9, 'Ginger')"
98,мафия,"[(1, 'Шершень'), (2, 'Setti'), (4, 'Lynch'), (5, 'Гармония'), (6, 'Night'), (7, 'Mr. Pibb')]","[(3, 'Benjamin'), (9, 'Персик')]","(10, 'Полицейский')","(8, 'Анархия')"
99,город,"[(1, 'Гармония'), (2, 'Лача'), (5, 'Полицейский'), (6, 'Benjamin'), (8, 'Персик'), (9, 'Шершень')]","[(3, 'Lynch'), (7, 'Марта')]","(4, 'Анархия')","(10, 'Mr. Pibb')"
100,мафия,"[(1, 'Lynch'), (3, 'Setti'), (4, 'Персик'), (6, 'Полицейский'), (8, 'Benjamin'), (9, 'Анархия')]","[(2, 'Night'), (7, 'Шершень')]","(5, 'Гармония')","(10, 'Ginger')"
101,город,"[(1, 'Марта'), (2, 'Джипси'), (4, 'Гармония'), (6, 'Benjamin'), (7, 'Night'), (9, 'Малыш')]","[(3, 'Trevery'), (8, 'Лача')]","(5, 'Полицейский')","(10, 'Анархия')"
102,мафия,"[(1, 'Марта'), (2, 'Trevery'), (4, 'Малыш'), (5, 'Гармония'), (6, 'Benjamin'), (10, 'Полицейский')]","[(3, 'Джипси'), (8, 'Лача')]","(9, 'Анархия')","(7, 'Шершень')"
103,мафия,"[(2, 'Одиннадцатый'), (5, 'Setti'), (6, 'Малыш'), (7, 'Полицейский'), (9, 'Шершень'), (10, 'Анархия')]","[(3, 'Benjamin'), (8, 'Гармония')]","(1, 'Лача')","(4, 'Lynch')"
104,город,"[(2, 'Адик'), (4, 'Ginger'), (6, 'Benjamin'), (8, 'Setti'), (9, 'Сарказм'), (10, 'Гармония')]","[(3, 'Ятна'), (5, 'Чикаго')]","(7, 'Кира')","(1, 'Кельтас')"
105,мафия,"[(2, 'Ginger'), (5, 'Кира'), (6, 'Чикаго'), (7, 'Benjamin'), (9, 'Сарказм'), (10, 'Ятна')]","[(1, 'Ice'), (3, 'Setti')]","(8, 'Mr. Pibb')","(4, 'Гармония')"
106,мафия,"[(1, 'Ginger'), (2, 'Гармония'), (3, 'Гость'), (5, 'Марта'), (7, 'Кира'), (8, 'Ятна')]","[(6, 'Benjamin'), (9, 'Mr. Pibb')]","(4, 'Сарказм')","(10, 'Кельтас')"
107,мафия,"[(1, 'Анархия'), (2, 'Лача'), (3, 'Гармония'), (4, 'Гость'), (6, 'Малыш'), (8, 'Полицейский')]","[(5, 'Персик'), (10, 'Марта')]","(7, 'Night')","(9, 'Benjamin')"
108,мафия,"[(2, 'Benjamin'), (3, 'Малыш'), (4, 'Персик'), (7, 'Гармония'), (8, 'Шершень'), (10, 'Гость')]","[(6, 'Анархия'), (9, 'Марта')]","(1, 'Полицейский')","(5, 'Лача')"
109,город,"[(2, 'Лача'), (3, 'Полицейский'), (4, 'Персик'), (5, 'Малыш'), (7, 'Frank'), (8, 'Шершень')]","[(6, 'Гармония'), (9, 'Night')]","(1, 'Setti')","(10, 'Анархия')"
110,мафия,"[(1, 'Полицейский'), (3, 'Шершень'), (4, 'Малыш'), (7, 'Персик'), (9, 'Гармония'), (10, 'Trevery')]","[(2, 'Борщ'), (5, 'Марта')]","(8, 'Lynch')","(6, 'Frank')"
111,мафия,"[(3, 'Марта'), (4, 'Борщ'), (6, 'Mr. Pibb'), (8, 'Гармония'), (9, 'Night'), (10, 'Персик')]","[(2, 'Полицейский'), (7, 'Шершень')]","(1, 'Малыш')","(5, 'Trevery')"
112,город,"[(2, 'Ginger'), (3, 'Коломбо'), (4, 'Анархия'), (5, 'Файна'), (6, 'Lucky'), (8, 'Персик')]","[(1, 'Кельтас'), (7, 'Snow')]","(9, 'Benjamin')","(10, 'Гость')"
113,мафия,"[(1, 'Night'), (2, 'Snow'), (3, 'Benjamin'), (5, 'Воля'), (6, 'Lucky'), (10, 'Mr. Pibb')]","[(8, 'Ginger'), (9, 'Файна')]","(4, 'Анархия')","(7, 'Персик')"
